project	n_samples	n_experiments	n_runs	runs_per_sample_max	strict_1to1	n_assay_triples	distinct_wells	well_coverage	looks_plate	plate_format	plates_est	assay_triples	found_by
PRJNA1149846	36	36	36	1	True	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|other;ssRNA-seq|TRANSCRIPTOMIC|other	10x Genomics Chromium
PRJNA1149847	36	36	36	1	True	2	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|other;ssRNA-seq|TRANSCRIPTOMIC|other	10x Genomics Chromium
PRJNA1151128	36	36	36	1	True	1	27	0.75	False		1.33	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1167732	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	TruSeq Stranded mRNA
PRJNA1189564	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1192236	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1208583	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1246651	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1247885	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1255484	36	36	54	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1263603	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1278993	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1298584	36	36	36	1	True	2	0	0.0	False			OTHER|OTHER|other;OTHER|TRANSCRIPTOMIC|other	10x Genomics Chromium
PRJNA1304476	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1365264	36	36	46	2	False	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1365650	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1373016	36	36	36	1	True	1	12	1.0	False		3.0	RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
PRJNA1380434	36	36	36	1	True	1	0	0.0	False			RNA-Seq|TRANSCRIPTOMIC|cDNA	bulk RNA-seq
